persid,hhid,persno,primary_mode_raw,travel_mode_3,hhinc_group,hh_income_3,anzsco1,occupation_5,homesubregion_asgs_person,homeregion_asgs_person,region_3,studying,anywork,edu_status_3,agegroup,age_stage_4,totalvehs,veh_own_3,sex,relationship,owndwell,homelga,persinc,perspoststratweight,hhpoststratweight,main_journey_duration_min
Y24H6120318P03,Y24H6120318,3,Tram,Public,"$2,500-$2,999 ($130,000-$155,999)",High,Sales Workers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,2,2+ cars,Female,Child,Being Purchased,Port Phillip (C),"$1-$149 ($1-$7,799)",700.323739809,540.7810925,49.0
Y24H6130231P04,Y24H6130231,4,Vehicle Driver,Private,"$4,000-$4,499 ($208,000-$233,999)",High,Technicians and Trades Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,3,2+ cars,Male,Grandchild,Being Rented,Knox (C),Nil income,505.563188416,405.0174171,33.0
Y24H6130401P02,Y24H6130401,2,Vehicle Driver,Private,"$2,000-$2,499 ($104,000-$129,999)",High,Clerical and Administrative Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,25->29,Young Adults,2,2+ cars,Female,Spouse,Being Rented,Whittlesea (C),"$800-$999 ($41,600-$51,999)",1081.830410057,1059.529631,49.0
Y24H6130415P03,Y24H6130415,3,Vehicle Driver,Private,"$4,000-$4,499 ($208,000-$233,999)",High,Technicians and Trades Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,25->29,Young Adults,2,2+ cars,Male,Child,Fully Owned,Whittlesea (C),"$800-$999 ($41,600-$51,999)",1435.604994472,1059.529631,57.0
Y24H6130436P01,Y24H6130436,1,Vehicle Driver,Private,"$3,000-$3,499 ($156,000-$181,999)",High,Professionals,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,40->44,Adults,4,2+ cars,Female,Self,Being Rented,Whittlesea (C),"$1,250-$1,499 ($65,000-$77,999)",1372.313023113,2815.401816,29.0
Y24H6130436P04,Y24H6130436,4,Vehicle Passenger,Private,"$3,000-$3,499 ($156,000-$181,999)",High,Community and Personal Service Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,15->19,Children,4,2+ cars,Female,Child,Being Rented,Whittlesea (C),"$400-$499 ($20,800-$25,999)",3491.899605767,2815.401816,14.0
Y24H6140213P03,Y24H6140213,3,Vehicle Driver,Private,"$5,000-$5,999 ($260,000-$311,999)",High,Community and Personal Service Workers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,15->19,Children,3,2+ cars,Female,Child,Being Purchased,Boroondara (C),"$150-$299 ($7,800-$15,599)",933.54983507,1011.945869,17.0
Y24H6140239P02,Y24H6140239,2,Train,Public,"$4,000-$4,499 ($208,000-$233,999)",High,Not in Work Force,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Full-time TAFE/Uni,No,Currently Studying,20->24,Young Adults,3,2+ cars,Female,Child,Fully Owned,Stonnington (C),"$500-$649 ($26,000-$33,799)",1289.425483922,815.9743915,45.0
Y24H6140330P02,Y24H6140330,2,Vehicle Driver,Private,"$6,000-$7,999 ($312,000-$415,999)",High,Professionals,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,45->49,Adults,2,2+ cars,Female,Spouse,Being Purchased,Port Phillip (C),"$3,000-$3,499 ($156,000-$181,999)",498.520699792,540.9139714,29.0
Y24H6140419P01,Y24H6140419,1,Vehicle Driver,Private,"$4,000-$4,499 ($208,000-$233,999)",High,Technicians and Trades Workers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,25->29,Young Adults,2,2+ cars,Male,Self,Being Rented,Merri-bek (C),"$1,250-$1,499 ($65,000-$77,999)",1168.722346765,407.2915989,30.0
Y24H6140522P03,Y24H6140522,3,Train,Public,"$1,750-$1,999 ($91,000-$103,999)",Medium,Labourers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,1,1 car,Female,Unrelated,Being Rented,Hobsons Bay (C),"$300-$399 ($15,600-$20,799)",704.878739477,424.8772601,53.0
Y24H6150305P03,Y24H6150305,3,Vehicle Driver,Private,"$3,500-$3,999 ($182,000-$207,999)",High,Not in Work Force,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Full-time TAFE/Uni,No,Currently Studying,20->24,Young Adults,3,2+ cars,Male,Child,Being Purchased,Moonee Valley (C),"$400-$499 ($20,800-$25,999)",1466.283142476,1130.485587,25.0
Y24H6150519P03,Y24H6150519,3,Vehicle Passenger,Private,"$650-$799 ($33,800-$41,599)",Low,Technicians and Trades Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,15->19,Children,3,2+ cars,Male,Child,Being Rented,Wyndham (C),Nil income,1511.36240811,739.6802725,28.0
Y24H6156204P01,Y24H6156204,1,Walking,Active,"$650-$799 ($33,800-$41,599)",Low,Labourers,Student,Other,Shepparton SA4,Regional Victoria,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,0,No car,Male,Self,Fully Owned,Greater Shepparton (C),"$650-$799 ($33,800-$41,599)",250.184791032,117.4809989,12.0
Y24H6160110P02,Y24H6160110,2,Public Bus,Public,"$800-$999 ($41,600-$51,999)",Medium,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,No,Currently Studying,25->29,Young Adults,0,No car,Male,Child,Being Purchased,Mornington Peninsula (S),"$800-$999 ($41,600-$51,999)",719.517348676,293.9259387,130.0
Y24H6160202P02,Y24H6160202,2,Vehicle Driver,Private,"$2,500-$2,999 ($130,000-$155,999)",High,Not in Work Force,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,No,Currently Studying,40->44,Adults,1,1 car,Male,Spouse,Being Rented,Monash (C),Nil income,867.871889261,625.5300373,15.0
Y24H6160215P03,Y24H6160215,3,Train,Public,"$4,000-$4,499 ($208,000-$233,999)",High,Professionals,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,2,2+ cars,Female,Child,Fully Owned,Monash (C),"$1,000-$1,249 ($52,000-$64,999)",591.123747413,610.2648887,55.0
Y24H6160215P04,Y24H6160215,4,Train,Public,"$4,000-$4,499 ($208,000-$233,999)",High,Not in Work Force,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,No,Currently Studying,15->19,Children,2,2+ cars,Female,Child,Fully Owned,Monash (C),"$300-$399 ($15,600-$20,799)",1044.058983282,610.2648887,68.0
Y24H6160436P02,Y24H6160436,2,Vehicle Driver,Private,"$4,000-$4,499 ($208,000-$233,999)",High,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,No,Currently Studying,35->39,Adults,2,2+ cars,Male,Child,Being Purchased,Banyule (C),"$1,000-$1,249 ($52,000-$64,999)",342.818442384,264.4907104,55.0
Y24H6170123P02,Y24H6170123,2,Vehicle Driver,Private,"$2,500-$2,999 ($130,000-$155,999)",High,Community and Personal Service Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,3,2+ cars,Female,Child,Being Purchased,Casey (C),"$400-$499 ($20,800-$25,999)",711.390669825,562.8559337,35.0
Y24H6170424P01,Y24H6170424,1,Vehicle Driver,Private,"$3,000-$3,499 ($156,000-$181,999)",High,Technicians and Trades Workers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,25->29,Young Adults,2,2+ cars,Male,Self,Being Rented,Darebin (C),"$800-$999 ($41,600-$51,999)",3992.832510045,1507.547939,25.0
Y24H6170424P02,Y24H6170424,2,Tram,Public,"$3,000-$3,499 ($156,000-$181,999)",High,Professionals,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,2,2+ cars,Male,Unrelated,Being Rented,Darebin (C),"$2,000-$2,999 ($104,000-$155,999)",1333.068567883,1507.547939,40.0
Y24H6170434P01,Y24H6170434,1,Walking,Active,"$1,000-$1,249 ($52,000-$64,999)",Medium,Community and Personal Service Workers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,40->44,Adults,0,No car,Female,Self,Being Rented,Darebin (C),"$1,000-$1,249 ($52,000-$64,999)",2393.64933218,1025.875951,40.0
Y24H6180126P01,Y24H6180126,1,Vehicle Driver,Private,"$4,500-$4,999 ($234,000-$259,999)",High,Community and Personal Service Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,40->44,Adults,1,1 car,Male,Self,Being Rented,Greater Dandenong (C),"$1,500-$1,749 ($78,000-$90,999)",1138.163250173,999.8397327,45.0
Y24H6180407P02,Y24H6180407,2,Vehicle Driver,Private,"$650-$799 ($33,800-$41,599)",Low,Not in Work Force,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Full-time TAFE/Uni,No,Currently Studying,20->24,Young Adults,2,2+ cars,Female,Unrelated,Being Rented,Merri-bek (C),Nil income,1067.510671161,660.0359641,30.0
Y24H6190214P03,Y24H6190214,3,Vehicle Driver,Private,"$3,000-$3,499 ($156,000-$181,999)",High,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,3,2+ cars,Male,Child,Fully Owned,Boroondara (C),"$150-$299 ($7,800-$15,599)",1652.630440147,2004.173094,20.0
Y24H6190219P03,Y24H6190219,3,Other,Other,"$1,000-$1,249 ($52,000-$64,999)",Medium,Not in Work Force,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,No,Currently Studying,20->24,Young Adults,2,2+ cars,Male,Child,Fully Owned,Boroondara (C),"$400-$499 ($20,800-$25,999)",1175.779140107,968.6134105,120.0
Y24H6190229P02,Y24H6190229,2,Vehicle Driver,Private,"$2,500-$2,999 ($130,000-$155,999)",High,Professionals,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,30->34,Adults,2,2+ cars,Female,Spouse,Being Rented,Boroondara (C),"$1,250-$1,499 ($65,000-$77,999)",887.618673784,733.9109883,40.0
Y24H6200137P03,Y24H6200137,3,Train,Public,"$300-$399 ($15,600-$20,799)",Low,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,No,Currently Studying,20->24,Young Adults,0,No car,Female,Child,Being Rented,Mornington Peninsula (S),"$300-$399 ($15,600-$20,799)",644.735436958,320.8468107,131.0
Y24H6200139P01,Y24H6200139,1,Vehicle Driver,Private,"$1,000-$1,249 ($52,000-$64,999)",Medium,Labourers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,25->29,Young Adults,1,1 car,Male,Self,Being Rented,Mornington Peninsula (S),"$1,000-$1,249 ($52,000-$64,999)",1161.012324744,612.4241753,45.0
Y24H6200311P04,Y24H6200311,4,Train,Public,"$3,000-$3,499 ($156,000-$181,999)",High,Not in Work Force,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,No,Currently Studying,20->24,Young Adults,3,2+ cars,Female,Child,Fully Owned,Bayside (C),"$1-$149 ($1-$7,799)",666.739397954,522.5439466,50.0
Y24H6200311P05,Y24H6200311,5,Vehicle Passenger,Private,"$3,000-$3,499 ($156,000-$181,999)",High,Clerical and Administrative Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,15->19,Children,3,2+ cars,Male,Child,Fully Owned,Bayside (C),"$300-$399 ($15,600-$20,799)",507.787693379,522.5439466,34.0
Y24H6200331P03,Y24H6200331,3,Vehicle Driver,Private,"$3,500-$3,999 ($182,000-$207,999)",High,Clerical and Administrative Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,3,2+ cars,Female,Child,Being Purchased,Glen Eira (C),"$150-$299 ($7,800-$15,599)",406.568706894,393.1431078,30.0
Y24H6200333P03,Y24H6200333,3,Vehicle Driver,Private,"$300-$399 ($15,600-$20,799)",Low,Clerical and Administrative Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,3,2+ cars,Male,Child,Fully Owned,Glen Eira (C),"$300-$399 ($15,600-$20,799)",405.971697673,400.6253853,30.0
Y24H6200339P01,Y24H6200339,1,Vehicle Driver,Private,"$5,000-$5,999 ($260,000-$311,999)",High,Professionals,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,50->54,Adults,3,2+ cars,Female,Self,Fully Owned,Glen Eira (C),"$1,500-$1,749 ($78,000-$90,999)",549.597118305,378.6335232,43.0
Y24H6210208P02,Y24H6210208,2,Vehicle Driver,Private,"$3,500-$3,999 ($182,000-$207,999)",High,Professionals,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,50->54,Adults,2,2+ cars,Female,Spouse,Being Purchased,Knox (C),"$1,000-$1,249 ($52,000-$64,999)",566.740142748,487.8346101,27.0
Y24H6230127P04,Y24H6230127,4,Vehicle Driver,Private,"$2,000-$2,499 ($104,000-$129,999)",High,Community and Personal Service Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,3,2+ cars,Male,Child,Fully Owned,Greater Dandenong (C),"$1-$149 ($1-$7,799)",1310.417363832,1082.624113,26.0
Y24H6230404P04,Y24H6230404,4,Train,Public,"$6,000-$7,999 ($312,000-$415,999)",High,Not in Work Force,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,No,Currently Studying,15->19,Children,4,2+ cars,Male,Child,Fully Owned,Banyule (C),"$1-$149 ($1-$7,799)",1503.365783461,781.8044924,58.0
Y24H6230405P02,Y24H6230405,2,Train,Public,"$1,750-$1,999 ($91,000-$103,999)",Medium,Community and Personal Service Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,25->29,Young Adults,1,1 car,Female,Spouse,Being Rented,Banyule (C),"$300-$399 ($15,600-$20,799)",426.793916916,295.7304492,82.0
Y24H6230432P06,Y24H6230432,6,Vehicle Driver,Private,"$2,000-$2,499 ($104,000-$129,999)",High,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,15->19,Children,1,1 car,Female,Grandchild,Fully Owned,Manningham (C),"$300-$399 ($15,600-$20,799)",471.463547892,638.7554989,45.0
Y24H6230531P01,Y24H6230531,1,Vehicle Driver,Private,"$2,500-$2,999 ($130,000-$155,999)",High,Professionals,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,40->44,Adults,2,2+ cars,Male,Self,Being Purchased,Moorabool (S),"$800-$999 ($41,600-$51,999)",264.747225567,348.8795321,44.0
Y24H6240404P02,Y24H6240404,2,Vehicle Driver,Private,"$2,500-$2,999 ($130,000-$155,999)",High,Professionals,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,35->39,Adults,2,2+ cars,Female,Spouse,Being Purchased,Banyule (C),"$1,250-$1,499 ($65,000-$77,999)",213.989226753,400.4730389,50.0
Y24H6240426P02,Y24H6240426,2,Vehicle Driver,Private,"$3,000-$3,499 ($156,000-$181,999)",High,Technicians and Trades Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,7,2+ cars,Male,Unrelated,Fully Owned,Banyule (C),"$1,000-$1,249 ($52,000-$64,999)",1643.258094579,1902.252423,30.0
Y24H6250105P04,Y24H6250105,4,Vehicle Driver,Private,"$4,500-$4,999 ($234,000-$259,999)",High,Community and Personal Service Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,15->19,Children,4,2+ cars,Female,Child,Being Purchased,Frankston (C),"$1-$149 ($1-$7,799)",1322.88363733,1282.693646,30.0
Y24H6090309P03,Y24H6090309,3,Public Bus,Public,"$800-$999 ($41,600-$51,999)",Medium,Not in Work Force,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Part-time TAFE/Uni,No,Currently Studying,25->29,Young Adults,1,1 car,Female,Unrelated,Being Rented,Maribyrnong (C),"$150-$299 ($7,800-$15,599)",509.851530309,264.8401165,53.0
Y24H6180402P02,Y24H6180402,2,Public Bus,Public,"$650-$799 ($33,800-$41,599)",Low,Technicians and Trades Workers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,1,1 car,Female,Spouse,Being Rented,Merri-bek (C),"$300-$399 ($15,600-$20,799)",1027.165595538,408.5862002,15.0
