persid,hhid,persno,primary_mode_raw,travel_mode_3,agegroup,sex,relationship,studying,anywork,anzsco1,anzsco2,emptype,persinc,hhinc_group,totalvehs,owndwell,homelga,homesubregion_asgs_person,homeregion_asgs_person,homesubregion_asgs_hh,homeregion_asgs_hh,perspoststratweight,hhpoststratweight,travdow_person,fulltimework,parttimework,casualwork,activities,mainact,anzsic1,anzsic2,startplace,numstops,anywfh,wfhmon,wfhtue,wfhwed,wfhthu,wfhfri,wfhsat,wfhsun,wfhtravday,faretype,anytoll,anyvehwalk,anypaidpark,perspoststratweight_group_1,perspoststratweight_group_2,perspoststratweight_group_3,perspoststratweight_group_4,perspoststratweight_group_5,perspoststratweight_group_6,perspoststratweight_group_7,perspoststratweight_group_8,perspoststratweight_group_9,perspoststratweight_group_10,daytype_person,surveyperiod,hhsize,dwelltype,totalbikes,travmonth,travdow_hh,youngestgroup_5,aveagegroup_5,oldestgroup_5,hhpoststratweight_group_1,hhpoststratweight_group_2,hhpoststratweight_group_3,hhpoststratweight_group_4,hhpoststratweight_group_5,hhpoststratweight_group_6,hhpoststratweight_group_7,hhpoststratweight_group_8,hhpoststratweight_group_9,hhpoststratweight_group_10,daytype_hh
Y24H5800217P02,Y24H5800217,2,Vehicle Driver,Private,55->59,Female,Spouse,No Study,Yes,Professionals,Education Professionals,Paid Employee,"$1,250-$1,499 ($65,000-$77,999)","$4,500-$4,999 ($234,000-$259,999)",4,Fully Owned,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,754.396411671,1166.288604,Wednesday,No,No,Yes,No other activity,Casual Work,Education and Training,Preschool and School Education,At Home,10,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,702.793979045,0.0,739.662949539,749.970926938,733.558175093,1565.635519459,756.03440579,697.102910009,948.343079071,748.823316994,Weekday,2023-24,5,Separate House,6,September,Wednesday,15->19,30->34,55->59,1136.596067,0.0,1227.223185,1203.217191,1104.924791,1962.096747,1192.13235,1313.203294,1211.241726,1160.913202,Weekday
Y24H5800217P03,Y24H5800217,3,Vehicle Driver,Private,20->24,Male,Child,Full-time TAFE/Uni,Yes,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Paid Employee,Nil income,"$4,500-$4,999 ($234,000-$259,999)",4,Fully Owned,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,947.335634462,1166.288604,Wednesday,No,No,Yes,No other activity,Full-time TAFE/Uni,Construction,Heavy and Civil Engineering Construction,At Home,3,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,847.336744435,0.0,912.677708423,959.925804571,900.812560777,1320.960004455,907.944642747,1361.345128436,1246.695507751,951.59658852,Weekday,2023-24,5,Separate House,6,September,Wednesday,15->19,30->34,55->59,1136.596067,0.0,1227.223185,1203.217191,1104.924791,1962.096747,1192.13235,1313.203294,1211.241726,1160.913202,Weekday
Y24H5800217P05,Y24H5800217,5,Train,Public,15->19,Female,Child,Secondary,No,Not in Work Force,Not in Work Force,Not in Work Force,"$1-$149 ($1-$7,799)","$4,500-$4,999 ($234,000-$259,999)",4,Fully Owned,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,1108.920488016,1166.288604,Wednesday,No,No,No,No other activity,Secondary School,Not in Work Force,Not In Work Force,At Home,10,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Concession,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,1120.857964781,0.0,1193.726481232,1139.265178682,1077.71143508,1361.870037957,1346.984282428,1083.333288985,1111.252018292,1096.968232469,Weekday,2023-24,5,Separate House,6,September,Wednesday,15->19,30->34,55->59,1136.596067,0.0,1227.223185,1203.217191,1104.924791,1962.096747,1192.13235,1313.203294,1211.241726,1160.913202,Weekday
Y24H5800218P02,Y24H5800218,2,Vehicle Driver,Private,55->59,Female,Spouse,No Study,Yes,Professionals,Health Professionals,Paid Employee,"$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)",2,Being Purchased,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,373.188517511,576.9453676,Thursday,No,Yes,No,Volunteer,Part-time Work,Health Care and Social Assistance,Hospitals,At Home,4,No,No,No,No,No,No,No,No,No,Not applicable,No,No,Yes,342.158392839,0.0,394.765982941,417.417954409,357.666112305,633.44460389,409.234782329,290.051085463,597.176651374,372.249984181,Weekday,2023-24,4,Separate House,0,September,Thursday,15->19,35->39,55->59,553.3568802,0.0,654.9820662,669.6852376,538.7359419,793.8498975,645.2907686,546.3985812,762.7253196,577.1053216,Weekday
Y24H5800218P03,Y24H5800218,3,Vehicle Driver,Private,20->24,Female,Child,Full-time TAFE/Uni,Yes,Sales Workers,Sales Assistants and Salespersons,Paid Employee,"$300-$399 ($15,600-$20,799)","$1,250-$1,499 ($65,000-$77,999)",2,Being Purchased,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,494.886866554,576.9453676,Thursday,No,No,Yes,No other activity,Full-time TAFE/Uni,Retail Trade,Retail Trade (NEC),At Home,4,No,No,No,No,No,No,No,No,No,Not applicable,No,No,Yes,491.868901371,0.0,542.020541709,567.982413311,464.823833257,713.386621515,491.18389113,489.86467021,685.851250897,495.507551855,Weekday,2023-24,4,Separate House,0,September,Thursday,15->19,35->39,55->59,553.3568802,0.0,654.9820662,669.6852376,538.7359419,793.8498975,645.2907686,546.3985812,762.7253196,577.1053216,Weekday
Y24H5800218P04,Y24H5800218,4,Vehicle Passenger,Private,15->19,Male,Child,Secondary,No,Not in Work Force,Not in Work Force,Not in Work Force,Nil income,"$1,250-$1,499 ($65,000-$77,999)",2,Being Purchased,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,527.349269422,576.9453676,Thursday,No,No,No,No other activity,Secondary School,Not in Work Force,Not In Work Force,At Home,2,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,525.533467844,0.0,620.98543298,586.747368024,500.889771558,583.92024915,737.25684484,433.023451883,608.873698931,523.454908108,Weekday,2023-24,4,Separate House,0,September,Thursday,15->19,35->39,55->59,553.3568802,0.0,654.9820662,669.6852376,538.7359419,793.8498975,645.2907686,546.3985812,762.7253196,577.1053216,Weekday
Y24H5800219P01,Y24H5800219,1,Train,Public,45->49,Female,Self,No Study,Yes,Professionals,Health Professionals,Self-Employed,"$150-$299 ($7,800-$15,599)","$2,000-$2,499 ($104,000-$129,999)",1,Fully Owned,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,845.665959046,600.9760455,Friday,Yes,No,No,No other activity,Full-time Work,Health Care and Social Assistance,Medical and Other Health Care Services,At Home,6,No,No,No,No,No,No,No,No,No,Full Adult,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,804.39384503,0.0,963.822450634,915.394203991,842.22081734,642.044187666,896.916383148,1197.389398654,1176.06088212,835.295659374,Weekday,2023-24,5,Separate House,3,September,Friday,5->9,20->24,45->49,542.5263341,0.0,644.8951874,640.2159735,589.2216739,669.8949892,642.3719746,685.3143932,840.083408,596.5217795,Weekday
Y24H5800219P02,Y24H5800219,2,Train,Public,40->44,Male,Spouse,No Study,Yes,Professionals,Legal Social and Welfare Professionals,Paid Employee,"$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)",1,Fully Owned,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,797.043075488,600.9760455,Friday,Yes,No,No,No other activity,Full-time Work,Professional Scientific and Technical Services,Professional Scientific and Technical Services (Except Computer System Design and Related Services),At Home,6,Yes,Yes,No,Yes,No,No,No,No,No,Full Adult,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,725.666445929,0.0,953.589195206,783.862267237,794.85153046,908.534026681,1021.428870953,791.598631306,1010.991068973,787.827427901,Weekday,2023-24,5,Separate House,3,September,Friday,5->9,20->24,45->49,542.5263341,0.0,644.8951874,640.2159735,589.2216739,669.8949892,642.3719746,685.3143932,840.083408,596.5217795,Weekday
Y24H5800219P03,Y24H5800219,3,Walking,Active,10->14,Female,Child,Primary,Not applicable,Not in Work Force,Not in Work Force,Not in Work Force,Nil income,"$2,000-$2,499 ($104,000-$129,999)",1,Fully Owned,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,693.622476911,600.9760455,Friday,Not applicable,Not applicable,Not applicable,No other activity,Primary School,Not in Work Force,Not In Work Force,At Home,2,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,605.399902097,0.0,747.059211748,807.682332158,698.019422198,481.979318867,743.463894065,1074.195177133,1042.56474405,693.583749609,Weekday,2023-24,5,Separate House,3,September,Friday,5->9,20->24,45->49,542.5263341,0.0,644.8951874,640.2159735,589.2216739,669.8949892,642.3719746,685.3143932,840.083408,596.5217795,Weekday
Y24H5800219P04,Y24H5800219,4,Walking,Active,5->9,Female,Child,Primary,Not applicable,Not in Work Force,Not in Work Force,Not in Work Force,Nil income,"$2,000-$2,499 ($104,000-$129,999)",1,Fully Owned,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,1204.549972197,600.9760455,Friday,Not applicable,Not applicable,Not applicable,No other activity,Primary School,Not in Work Force,Not In Work Force,At Home,2,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,1062.285690653,0.0,1457.222512053,1411.920374086,1235.051027467,1289.132650679,1213.618511375,1332.180717013,1207.228906525,1203.627562442,Weekday,2023-24,5,Separate House,3,September,Friday,5->9,20->24,45->49,542.5263341,0.0,644.8951874,640.2159735,589.2216739,669.8949892,642.3719746,685.3143932,840.083408,596.5217795,Weekday
Y24H5800224P03,Y24H5800224,3,Train,Public,35->39,Female,Child,No Study,Yes,Professionals,Business Human Resource and Marketing Professionals,Paid Employee,"$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)",2,Fully Owned,Whitehorse (C),MELB - Middle,Greater Melbourne,MELB - Middle,Greater Melbourne,721.156439682,894.9624903,Wednesday,No,Yes,No,No other activity,Part-time Work,Public Administration and Safety,Public Administration,At Home,6,Yes,No,No,No,No,Yes,No,No,No,Full Adult,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,757.699657123,661.783608602,673.552091243,839.120433012,792.763388303,1076.204336994,1129.234318519,0.0,791.284735474,712.714027804,Weekday,2023-24,3,"Unit, Flat or Apartment",0,September,Wednesday,35->39,65->69,80->84,968.240538,901.4344503,889.3268485,910.8373464,987.8055557,1434.32461,1416.865177,0.0,887.6928972,885.5430448,Weekday
Y24H5800231P02,Y24H5800231,2,Vehicle Driver,Private,45->49,Male,Spouse,No Study,Yes,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Paid Employee,"$3,000-$3,499 ($156,000-$181,999)","$4,500-$4,999 ($234,000-$259,999)",3,Being Purchased,Whitehorse (C),MELB - Middle,Greater Melbourne,MELB - Middle,Greater Melbourne,2804.867384521,1891.946372,Wednesday,Yes,No,No,No other activity,Full-time Work,Construction,Building Construction,At Home,2,No,No,No,No,No,No,No,No,No,Not applicable,No,No,Yes,3001.228164251,2927.918648023,2702.064337639,2748.717994229,2891.579530344,4217.864502175,3463.821906913,0.0,2682.591936844,2792.304953682,Weekday,2023-24,5,Separate House,3,September,Wednesday,10->14,25->29,45->49,2192.986412,2167.503103,1739.956114,1820.902394,2114.415796,3548.119666,2594.061661,0.0,1458.990567,1875.51771,Weekday
Y24H5800231P05,Y24H5800231,5,Vehicle Passenger,Private,10->14,Male,Child,Primary,Not applicable,Not in Work Force,Not in Work Force,Not in Work Force,Nil income,"$4,500-$4,999 ($234,000-$259,999)",3,Being Purchased,Whitehorse (C),MELB - Middle,Greater Melbourne,MELB - Middle,Greater Melbourne,2335.497033917,1891.946372,Wednesday,Not applicable,Not applicable,Not applicable,No other activity,Primary School,Not in Work Force,Not In Work Force,At Home,2,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,2593.686085225,2272.350607131,2271.521464205,2385.793022956,2417.596611674,4478.920162619,2901.633468284,0.0,1807.745781285,2331.274967812,Weekday,2023-24,5,Separate House,3,September,Wednesday,10->14,25->29,45->49,2192.986412,2167.503103,1739.956114,1820.902394,2114.415796,3548.119666,2594.061661,0.0,1458.990567,1875.51771,Weekday
Y24H5800237P03,Y24H5800237,3,Vehicle Driver,Private,20->24,Female,Child,Full-time TAFE/Uni,Yes,Sales Workers,Sales Assistants and Salespersons,Paid Employee,"$650-$799 ($33,800-$41,599)","$6,000-$7,999 ($312,000-$415,999)",4,Being Purchased,Whitehorse (C),MELB - Middle,Greater Melbourne,MELB - Middle,Greater Melbourne,1012.283941335,1004.031937,Tuesday,No,Yes,No,No other activity,Full-time TAFE/Uni,Retail Trade,Other Store-Based Retailing,At Home,4,No,No,No,No,No,No,No,No,No,Not applicable,Yes,No,Yes,1080.597930618,910.161676562,914.74181423,950.060916024,1029.276520155,2954.402069837,1252.201676248,0.0,793.208584698,1002.497516454,Weekday,2023-24,4,Terrace or Townhouse,0,September,Tuesday,20->24,30->34,55->59,1016.039875,816.6306158,961.9090823,970.9959256,1114.221566,2714.296195,1293.730204,0.0,798.8101477,999.1075162,Weekday
Y24H5800237P04,Y24H5800237,4,Vehicle Driver,Private,20->24,Female,Child,Full-time TAFE/Uni,Yes,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Paid Employee,"$1,000-$1,249 ($52,000-$64,999)","$6,000-$7,999 ($312,000-$415,999)",4,Being Purchased,Whitehorse (C),MELB - Middle,Greater Melbourne,MELB - Middle,Greater Melbourne,1012.283941335,1004.031937,Tuesday,No,Yes,No,No other activity,Full-time TAFE/Uni,Health Care and Social Assistance,Residential Care Services,At Home,12,No,No,No,No,No,No,No,No,No,Not applicable,No,Yes,Yes,1080.597930618,910.161676562,914.74181423,950.060916024,1029.276520155,2954.402069837,1252.201676248,0.0,793.208584698,1002.497516454,Weekday,2023-24,4,Terrace or Townhouse,0,September,Tuesday,20->24,30->34,55->59,1016.039875,816.6306158,961.9090823,970.9959256,1114.221566,2714.296195,1293.730204,0.0,798.8101477,999.1075162,Weekday
Y24H5800239P01,Y24H5800239,1,Train,Public,45->49,Male,Self,No Study,Yes,Professionals,Design Engineering Science and Transport Professionals,Paid Employee,"$500-$649 ($26,000-$33,799)","$500-$649 ($26,000-$33,799)",1,Being Rented,Whitehorse (C),MELB - Middle,Greater Melbourne,MELB - Middle,Greater Melbourne,732.672877293,486.8149711,Thursday,Yes,No,No,No other activity,Full-time Work,Construction,Building Construction,At Home,11,Yes,No,No,No,No,Yes,No,No,Yes,Full Adult,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,720.413055524,641.143448302,836.505912022,746.059210724,752.365403545,1512.405512163,858.219761726,0.0,728.897162117,725.830472952,Weekday,2023-24,4,Terrace or Townhouse,3,September,Thursday,10->14,25->29,45->49,458.4307181,513.2539662,496.6477259,502.4115603,545.3519978,899.4078504,635.9810551,0.0,521.5003644,484.8657986,Weekday
Y24H5800239P03,Y24H5800239,3,Vehicle Passenger,Private,10->14,Female,Child,Primary,Not applicable,Not in Work Force,Not in Work Force,Not in Work Force,Nil income,"$500-$649 ($26,000-$33,799)",1,Being Rented,Whitehorse (C),MELB - Middle,Greater Melbourne,MELB - Middle,Greater Melbourne,528.327833578,486.8149711,Thursday,Not applicable,Not applicable,Not applicable,No other activity,Primary School,Not in Work Force,Not In Work Force,At Home,2,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,489.659910303,489.525018792,528.910875245,584.969967178,553.354896348,627.038386812,748.771598619,0.0,571.751472055,527.059957805,Weekday,2023-24,4,Terrace or Townhouse,3,September,Thursday,10->14,25->29,45->49,458.4307181,513.2539662,496.6477259,502.4115603,545.3519978,899.4078504,635.9810551,0.0,521.5003644,484.8657986,Weekday
Y24H5800239P04,Y24H5800239,4,Vehicle Passenger,Private,10->14,Male,Child,Primary,Not applicable,Not in Work Force,Not in Work Force,Not in Work Force,Nil income,"$500-$649 ($26,000-$33,799)",1,Being Rented,Whitehorse (C),MELB - Middle,Greater Melbourne,MELB - Middle,Greater Melbourne,600.944581577,486.8149711,Thursday,Not applicable,Not applicable,Not applicable,No other activity,Primary School,Not in Work Force,Not In Work Force,At Home,2,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,542.194592834,538.081334203,648.376105835,658.272513217,623.548662598,1135.355155621,711.387837267,0.0,646.15913582,602.689856412,Weekday,2023-24,4,Terrace or Townhouse,3,September,Thursday,10->14,25->29,45->49,458.4307181,513.2539662,496.6477259,502.4115603,545.3519978,899.4078504,635.9810551,0.0,521.5003644,484.8657986,Weekday
Y24H5800322P01,Y24H5800322,1,Walking,Active,25->29,Male,Self,Part-time TAFE/Uni,Yes,Sales Workers,Sales Representatives and Agents,Paid Employee,"$2,000-$2,999 ($104,000-$155,999)","$2,500-$2,999 ($130,000-$155,999)",0,Being Rented,Melbourne (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,4644.239030501,4031.853042,Monday,Yes,No,No,Volunteer,Full-time Work,Professional Scientific and Technical Services,Computer System Design and Related Services,At Home,3,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,4695.527894647,5668.09685873,4987.751391178,4559.194537767,0.0,4938.836329427,4153.832766875,6267.30267438,5077.98018066,6145.997409841,Weekday,2023-24,1,"Unit, Flat or Apartment",0,September,Monday,25->29,25->29,25->29,3823.470532,5147.830764,4095.21044,4050.280541,0.0,4822.901461,3976.72074,4606.27296,4740.295878,5001.344791,Weekday
Y24H5800338P03,Y24H5800338,3,Walking,Active,25->29,Male,Unrelated,Something Else,Yes,Labourers,Cleaners and Laundry Workers,Paid Employee,"$150-$299 ($7,800-$15,599)","$400-$499 ($20,800-$25,999)",0,Being Rented,Melbourne (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,3581.742670178,3061.929827,Wednesday,No,No,Yes,No other activity,Casual Work,Other Services,Personal and Other Services,At Home,6,No,No,No,No,No,No,No,No,No,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,3345.704704371,3416.505624276,3710.396347135,3509.171438662,0.0,3510.176868289,3649.650932924,4233.807324134,3707.22438734,3667.487756343,Weekday,2023-24,3,"Unit, Flat or Apartment",Missing/Refused,September,Wednesday,25->29,30->34,35->39,3072.040947,3047.479655,3202.534848,3029.227589,0.0,3476.816811,2956.383764,3232.238727,3385.820752,4270.143412,Weekday
Y24H5800339P01,Y24H5800339,1,Tram,Public,20->24,Female,Self,Full-time TAFE/Uni,No,Not in Work Force,Not in Work Force,Not in Work Force,Nil income,,0,Being Rented,Melbourne (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,5161.165628096,3538.720089,Thursday,No,No,No,No other activity,Full-time TAFE/Uni,Not in Work Force,Not In Work Force,At Home,7,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Full Adult,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,4837.025850987,5524.13502796,5291.405448872,5119.277540679,0.0,6020.63152612,4831.472623459,5654.40523115,4634.679859868,7374.933117308,Weekday,2023-24,2,"Unit, Flat or Apartment",0,September,Thursday,20->24,20->24,20->24,3237.408113,4239.417453,3678.264879,3593.822688,0.0,4079.461978,3806.869041,3803.760543,3997.450017,4615.108675,Weekday
Y24H5800339P02,Y24H5800339,2,Train,Public,20->24,Male,Other relative,Full-time TAFE/Uni,No,Not in Work Force,Not in Work Force,Not in Work Force,Nil income,,0,Being Rented,Melbourne (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,5478.100581443,3538.720089,Thursday,No,No,No,No other activity,Full-time TAFE/Uni,Not in Work Force,Not In Work Force,At Home,10,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Full Adult,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,5125.132749235,5950.727423008,5550.125131679,5464.551914117,0.0,5884.462896513,5067.333117664,5286.52589476,5097.404869763,8549.352160786,Weekday,2023-24,2,"Unit, Flat or Apartment",0,September,Thursday,20->24,20->24,20->24,3237.408113,4239.417453,3678.264879,3593.822688,0.0,4079.461978,3806.869041,3803.760543,3997.450017,4615.108675,Weekday
Y24H5800410P02,Y24H5800410,2,Vehicle Driver,Private,60->64,Female,Other relative,No Study,Yes,Community and Personal Service Workers,Sports and Personal Service Workers,Paid Employee,"$1,500-$1,749 ($78,000-$90,999)","$4,500-$4,999 ($234,000-$259,999)",3,Being Rented,Merri-bek (C),MELB - Middle,Greater Melbourne,MELB - Middle,Greater Melbourne,1539.712499874,2910.707848,Wednesday,No,Yes,No,No other activity,Part-time Work,Health Care and Social Assistance,Residential Care Services,At Home,5,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,1362.626772417,1997.203963775,0.0,917.366320744,1675.937278281,1745.935430938,2183.5480521,1635.503859318,1534.34327353,2071.266304299,Weekday,2023-24,3,Separate House,0,September,Wednesday,60->64,60->64,65->69,2677.421206,3765.795506,0.0,2140.256396,3223.318552,3257.480491,4452.102551,3391.913509,3166.795111,3215.444845,Weekday
Y24H5800439P01,Y24H5800439,1,Vehicle Driver,Private,45->49,Male,Self,No Study,Yes,Professionals,Design Engineering Science and Transport Professionals,Paid Employee,"$3,000-$3,499 ($156,000-$181,999)","$6,000-$7,999 ($312,000-$415,999)",3,Being Purchased,Merri-bek (C),MELB - Middle,Greater Melbourne,MELB - Middle,Greater Melbourne,1879.889566679,1538.476591,Thursday,Yes,No,No,No other activity,Full-time Work,Retail Trade,Other Store-Based Retailing,At Home,5,Yes,Yes,No,Yes,No,Yes,No,No,No,Not applicable,Yes,No,No,1643.281137998,2150.679216258,2535.581522016,1629.419756928,2448.778577246,2133.753687899,0.0,2004.205199741,2628.386653104,1786.57877492,Weekday,2023-24,5,Separate House,0,September,Thursday,10->14,25->29,45->49,1657.841968,1760.848318,2315.600368,1164.834724,2065.178635,1764.772215,0.0,1516.431126,1583.423493,1494.407073,Weekday
Y24H5800439P02,Y24H5800439,2,Vehicle Driver,Private,40->44,Female,Spouse,No Study,Yes,Professionals,Education Professionals,Paid Employee,"$2,000-$2,999 ($104,000-$155,999)","$6,000-$7,999 ($312,000-$415,999)",3,Being Purchased,Merri-bek (C),MELB - Middle,Greater Melbourne,MELB - Middle,Greater Melbourne,1277.482114621,1538.476591,Thursday,Yes,No,No,No other activity,Full-time Work,Education and Training,Preschool and School Education,At Home,3,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,1210.931349604,1145.076215405,2369.044718706,992.224413718,1890.642516445,1530.493546334,0.0,1130.072430364,1225.191356678,1303.361888402,Weekday,2023-24,5,Separate House,0,September,Thursday,10->14,25->29,45->49,1657.841968,1760.848318,2315.600368,1164.834724,2065.178635,1764.772215,0.0,1516.431126,1583.423493,1494.407073,Weekday
Y24H5800439P04,Y24H5800439,4,Vehicle Passenger,Private,15->19,Female,Child,Secondary,No,Not in Work Force,Not in Work Force,Not in Work Force,Nil income,"$6,000-$7,999 ($312,000-$415,999)",3,Being Purchased,Merri-bek (C),MELB - Middle,Greater Melbourne,MELB - Middle,Greater Melbourne,1657.999630308,1538.476591,Thursday,No,No,No,No other activity,Secondary School,Not in Work Force,Not In Work Force,At Home,2,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,1538.645944379,1697.64606901,2932.305260002,1249.471962233,2302.686331752,1910.09463371,0.0,1667.820418397,1957.044799211,1330.410999608,Weekday,2023-24,5,Separate House,0,September,Thursday,10->14,25->29,45->49,1657.841968,1760.848318,2315.600368,1164.834724,2065.178635,1764.772215,0.0,1516.431126,1583.423493,1494.407073,Weekday
Y24H5800439P05,Y24H5800439,5,Vehicle Passenger,Private,10->14,Male,Child,Secondary,Not applicable,Not in Work Force,Not in Work Force,Not in Work Force,Nil income,"$6,000-$7,999 ($312,000-$415,999)",3,Being Purchased,Merri-bek (C),MELB - Middle,Greater Melbourne,MELB - Middle,Greater Melbourne,3235.176883855,1538.476591,Thursday,Not applicable,Not applicable,Not applicable,No other activity,Secondary School,Not in Work Force,Not In Work Force,At Home,2,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,2836.622034065,4281.395105402,3907.587191489,2313.971980561,4021.344986895,3544.668439867,0.0,3107.530203724,4540.392365831,4151.694549852,Weekday,2023-24,5,Separate House,0,September,Thursday,10->14,25->29,45->49,1657.841968,1760.848318,2315.600368,1164.834724,2065.178635,1764.772215,0.0,1516.431126,1583.423493,1494.407073,Weekday
Y24H5800529P01,Y24H5800529,1,Vehicle Driver,Private,45->49,Male,Self,No Study,Yes,Managers,Specialist Managers,Paid Employee,"$3,000-$3,499 ($156,000-$181,999)","$6,000-$7,999 ($312,000-$415,999)",2,Being Purchased,Hobsons Bay (C),MELB - Outer,Greater Melbourne,MELB - Outer,Greater Melbourne,1435.040512192,1754.182288,Monday,Yes,No,No,No other activity,Full-time Work,Manufacturing,Machinery and Equipment Manufacturing,At Home,4,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,1324.022230604,1737.827573716,1401.74236885,1500.821120614,1407.931670929,0.0,1882.245259313,1409.413035445,1789.31404047,1679.848514003,Weekday,2023-24,2,Separate House,6,September,Monday,40->44,45->49,45->49,1700.766845,1954.047224,1778.480652,2083.886677,1790.238491,0.0,1966.813699,1768.955565,2232.517929,2031.67408,Weekday
Y24H5800529P02,Y24H5800529,2,Vehicle Driver,Private,40->44,Female,Spouse,Part-time TAFE/Uni,Yes,Managers,Specialist Managers,Paid Employee,"$2,000-$2,999 ($104,000-$155,999)","$6,000-$7,999 ($312,000-$415,999)",2,Being Purchased,Hobsons Bay (C),MELB - Outer,Greater Melbourne,MELB - Outer,Greater Melbourne,1849.415724709,1754.182288,Monday,Yes,No,No,No other activity,Full-time Work,Manufacturing,Transport Equipment Manufacturing,At Home,2,Yes,No,Yes,No,No,No,No,No,No,Not applicable,Yes,No,No,1809.340958613,1811.575210492,1745.059050147,2141.623603505,2123.733759742,0.0,1910.039634424,1846.816335158,2277.071546636,2288.671684587,Weekday,2023-24,2,Separate House,6,September,Monday,40->44,45->49,45->49,1700.766845,1954.047224,1778.480652,2083.886677,1790.238491,0.0,1966.813699,1768.955565,2232.517929,2031.67408,Weekday
